5393,2008-02-06,Double Jeopardy!,"FROM THE FRENCH","$2000","From the French for ""caper"", it's a curved furniture leg that often tapers to a paw","cabriole"
4493,2004-03-03,Jeopardy!,"2003 NOBEL PRIZE WINNERS","$1000","For their work leading to the MRI, American Paul Lauterbur & Briton Sir Peter Mansfield scanned this Nobel","Medicine"
4493,2004-03-03,Jeopardy!,"LITERARY POP","$1000","These mega-cool rockers took their band name from an Aldous Huxley book about using mescaline","the Doors"
4493,2004-03-03,Jeopardy!,"GHOST","$1000","In the first book of Samuel, Samuel's ghost appears to this king of Israel & predicts his military defeat","Saul"
4493,2004-03-03,Jeopardy!,"WE LOVE L.A.","$1000","(Sarah)  Mulholland Drive overlooks L.A. from these mountains that share their name with a beachside community","the Santa Monica Mountains"
4493,2004-03-03,Jeopardy!,"A THOUSAND SOMETHING","$1000","It's the number inscribed on Plymouth Rock","1620"
4493,2004-03-03,Jeopardy!,"RHYME TIME","$1000","Smooched with the composer of ""Hungarian Rhapsodies""","kissed Liszt"
4493,2004-03-03,Double Jeopardy!,"THE MAUREEN CORPS","$400","Maureen McCormick played this sitcom girl who had hair of gold like her mother","Marcia Brady"
4493,2004-03-03,Double Jeopardy!,"SEMPER ""FI""","$400","This classic name for dogs comes from the Latin for ""faithful""","Fido"
4493,2004-03-03,Double Jeopardy!,"A FEW GOOD MEN","$400","Thomas Mallon's book ""Henry and Clara"" concerns Henry Rathbone, wounded by this man at Ford's Theater","John Wilkes Booth"
4493,2004-03-03,Double Jeopardy!,"YOU CAN'T","$400","New thermometers containing this may not be sold in Minnesota","mercury"
4493,2004-03-03,Double Jeopardy!,"HANDEL","$400","Handel composed it in about 3 weeks in 1741; its text was adapted from the Bible & the Book of Common Prayer","The Messiah"
4493,2004-03-03,Double Jeopardy!,"THE TRUTH","$400","This syrup brand comes in a distinctive grandmother-shaped bottle","Mrs. Butterworth's"
4493,2004-03-03,Double Jeopardy!,"THE MAUREEN CORPS","$800","Born in Ireland in 1911, she played Jane to Tarzan & wife to John Farrow","Maureen O'Sullivan"
4493,2004-03-03,Double Jeopardy!,"SEMPER ""FI""","$800","A book on the making of ""Heaven's Gate"", or the approved edited version of a motion picture","final cut"
4493,2004-03-03,Double Jeopardy!,"A FEW GOOD MEN","$800","Starting out in 1865, this man famous for his cowboy hats became the leading hatmaker in the U.S.","Stetson"
4493,2004-03-03,Double Jeopardy!,"YOU CAN'T","$800","Per the Alabama Code, section 13A-12-1, it's when card playing is illegal","Sunday"
4493,2004-03-03,Double Jeopardy!,"HANDEL","$800","Along with Bach, Handel is considered one of the greatest composers of the late era of this musical style","Baroque"
4493,2004-03-03,Double Jeopardy!,"THE TRUTH","$800","In a game of Monopoly, 2 ways you can get out of jail are by rolling doubles or by paying this amount of money","$50"
4493,2004-03-03,Double Jeopardy!,"THE MAUREEN CORPS","$1200","Born in Ireland in 1920, she appeared in several John Ford films, starting with ""How Green Was My Valley""","Maureen O'Hara"
4493,2004-03-03,Double Jeopardy!,"SEMPER ""FI""","$1200","Iowa senator Chuck Grassley is the chairman of this U.S. Senate committee","Finance"
4493,2004-03-03,Double Jeopardy!,"A FEW GOOD MEN","$1200","One of the first U.S. presidents to have his picture taken, James Polk was photographed by this man in 1849","Mathew Brady"
4493,2004-03-03,Double Jeopardy!,"YOU CAN'T","$1200","In Massachusetts you can get 5 years for hiding one of these, like the one Grandma cut you out of","a will"
4493,2004-03-03,Double Jeopardy!,"HANDEL","$1200","2 women dispute the parentage of a child in a scene from Handel's 1749 oratorio about this Biblical figure","Solomon"
4493,2004-03-03,Double Jeopardy!,"THE TRUTH","$1200","As a senator, Andrew Johnson suggested the abolition of this body in choosing the president","the Electoral College"
4493,2004-03-03,Double Jeopardy!,"THE MAUREEN CORPS","$1600","Maureen Tucker played drums for this '60s band led by Lou Reed","the Velvet Underground"
4493,2004-03-03,Double Jeopardy!,"SEMPER ""FI""","$1600","Predatory insect invader seen here","fire ant"
4493,2004-03-03,Double Jeopardy!,"A FEW GOOD MEN","$1600","The world's largest diamond bears the name of this man who was head of South Africa's Premier Mine in 1905","Sir Thomas Cullinan"
4493,2004-03-03,Double Jeopardy!,"YOU CAN'T","$1600","Under the Federal Telephone Consumer Protection Act, you can't send the junk type of these","faxes"
4493,2004-03-03,Double Jeopardy!,"HANDEL","$1600","In 1710 Handel was appointed kapellmeister to the elector of Hanover, this future king of England","George I"
4493,2004-03-03,Double Jeopardy!,"THE TRUTH","$1600","Flip Wilson endowed a scholarship for African-American journalism majors at this New Jersey state university","Rutgers"
4493,2004-03-03,Double Jeopardy!,"THE MAUREEN CORPS","$2000","In 1995 she began taking ""Liberties"" on the New York Times op-ed page","Maureen Dowd"
4493,2004-03-03,Double Jeopardy!,"SEMPER ""FI""","$2000","Countable, with an end or limit","finite"
4493,2004-03-03,Double Jeopardy!,"A FEW GOOD MEN","$2000","He was the last of several U.S. presidents who graduated from a military academy","Jimmy Carter (from the Naval Academy)"
4493,2004-03-03,Double Jeopardy!,"YOU CAN'T","$1,200","In 1835 Britain's parliament banned this so-called amusement that set dogs on a large carnivore","bear-baiting"
4493,2004-03-03,Double Jeopardy!,"HANDEL","$2,000","On July 17, 1717 this piece made its fitting debut on a barge on the river Thames","Water Music"
4493,2004-03-03,Double Jeopardy!,"THE TRUTH","$2000","St. Martin is one of these ""Lesser"" islands in the Caribbean Sea","the Antilles"
4493,2004-03-03,Final Jeopardy!,"RECENT MOVIES","None","Chita Rivera made a cameo appearance as a prison inmate in this 2002 film","Chicago"
5366,2007-12-31,Jeopardy!,"""X"" IN THE CITY","$200","It's the capital of Nova Scotia","Halifax"
5366,2007-12-31,Jeopardy!,"CELEBRITY AKA","$200","It's the real last name of Nicolas Cage--& of his famous uncle","Coppola"
5366,2007-12-31,Jeopardy!,"THE INTERNET","$200","Use your digital jukebox software to connect to this No. 1 online music store","iTunes"
5366,2007-12-31,Jeopardy!,"ANIMALS","$200","One in every 6 known bird species makes its home in this rainforest","the Amazon"
5366,2007-12-31,Jeopardy!,"MY DREAM HOUSE","$200","In this style of pre-Revolutionary Americans, I like the Southern <a href=""http://www.j-archive.com/media/2007-12-31_J_26.jpg"" target=""_blank"">version</a> with brick exterior & side chimneys","Colonial"
5366,2007-12-31,Jeopardy!,"5-LETTER WORDS","$200","You probably made your first entrance through this ""canal""","birth"
5366,2007-12-31,Jeopardy!,"""X"" IN THE CITY","$400","For over 75 years, a shrimp festival & blessing of the fleet have kicked off shrimping season in this Mississippi city","Biloxi"
5366,2007-12-31,Jeopardy!,"CELEBRITY AKA","$400","Destiny Hope Cyrus, Billy Ray's kid & star of TV's ""Hannah Montana"", now goes by this first name","Miley"
5366,2007-12-31,Jeopardy!,"THE INTERNET","$400","Names for this keyboard symbol include ""cat's tail"" in Finnish & ""Strudel"" in Hebrew","the @ sign"
5366,2007-12-31,Jeopardy!,"ANIMALS","$400","Sputniks 5, 6, 9 & 10 also carried these animals into space, & most were recovered alive","dogs"
5366,2007-12-31,Jeopardy!,"MY DREAM HOUSE","$400","I'll entertain royally with a house in this style named for a 19th c. queen, with its welcoming front porch","Victorian"
5366,2007-12-31,Jeopardy!,"5-LETTER WORDS","$400","A command to your pooch to retrieve something","fetch"
5366,2007-12-31,Jeopardy!,"""X"" IN THE CITY","$600","Famous for temple ruins, this city on the site of Thebes has been called ""The World's Greatest Open-Air Museum""","Luxor"
5366,2007-12-31,Jeopardy!,"CELEBRITY AKA","$600","Yes Sir, his real name is Reginald Dwight","Elton John"
5366,2007-12-31,Jeopardy!,"THE INTERNET","$600","Ordinary analog phone lines that deliver a low-cost broadband data connection use this 3-letter technology","DSL"
5366,2007-12-31,Jeopardy!,"ANIMALS","$600","Got one of these odorous animals also known as a polecat as a pet?  Call your humane society to make sure it's legal","a skunk"
5366,2007-12-31,Jeopardy!,"MY DREAM HOUSE","$600","<a href=""http://www.j-archive.com/media/2007-12-31_J_28.jpg"" target=""_blank"">This</a> is it: the classic L shape & low-pitched gable roof of this house named for a Western dwelling","a ranch house"
5366,2007-12-31,Jeopardy!,"5-LETTER WORDS","$600","You have one of these, aka a heartbeat, I assume","pulse"
5366,2007-12-31,Jeopardy!,"""X"" IN THE CITY","$1,000","Averages for this U.S. city are 7.66 inches of rain, a daily high temperature of 85, & 325 sunny days per year","Phoenix"
5366,2007-12-31,Jeopardy!,"CELEBRITY AKA","$800","The movies' original ""Alfie"", he was originally named Maurice Micklewhite","Michael Caine"
5366,2007-12-31,Jeopardy!,"THE INTERNET","$800","This 4-letter certification is given for equipment that uses the IEEE 802.11 standard","Wi-Fi"
5366,2007-12-31,Jeopardy!,"ANIMALS","$800","Critters of the Pleistocene epoch include the mammoth & this ""breast tooth"" relative","mastodon"
5366,2007-12-31,Jeopardy!,"MY DREAM HOUSE","$800","Why hold back--tower, stone, ornamentation, I want a home in the style of one of these French mansions","a château"
5366,2007-12-31,Jeopardy!,"5-LETTER WORDS","$800","To perform this kids' activity ""inside the lines"" is to conform; to do it ""outside the lines"" is to be a free spirit","color"
5366,2007-12-31,Jeopardy!,"""X"" IN THE CITY","$1000","Love to shop?  This largest South Dakota city has the largest shopping center between Denver & Minneapolis","Sioux Falls"
5366,2007-12-31,Jeopardy!,"CELEBRITY AKA","$1000","When she's ""got mail"", we wonder if it's addressed to Margaret Hyra","Meg Ryan"
5366,2007-12-31,Jeopardy!,"THE INTERNET","$1000","Tim Berners-Lee helped create the World Wide Web at this particle physics lab near Geneva","CERN"
5366,2007-12-31,Jeopardy!,"ANIMALS","$1000","""Dachs"", as in ""Dachshund"", is German for this burrowing animal","the badger"
5366,2007-12-31,Jeopardy!,"MY DREAM HOUSE","$1000","I'm going to use this smallish lot economically, putting up <a href=""http://www.j-archive.com/media/2007-12-31_J_30.jpg"" target=""_blank"">this</a> kind of house with tiers only one half-story apart","a split-level"
5366,2007-12-31,Jeopardy!,"5-LETTER WORDS","$1000","A form of matter--solid, liquid or gas","state (phase accepted)"
5366,2007-12-31,Double Jeopardy!,"PATRONS OF THE ARTS","$400","7 National Medals of Arts have gone to corporate patrons of the arts, like Exxon, Sara Lee & this card company","Hallmark"
5366,2007-12-31,Double Jeopardy!,"THE BLUES","$400","They play their major league home games at Rogers Centre","the Blue Jays"
5366,2007-12-31,Double Jeopardy!,"GREAT ALEXANDERS","$400","Pull out a sawbuck & you'll see his portrait","Alexander Hamilton"
5366,2007-12-31,Double Jeopardy!,"APPROXIMATE WEIGHTS & MEASURES","$400","As a verb, it means to squeeze, like a baby's cheek; as a noun, a small quantity, like salt","pinch"
5366,2007-12-31,Double Jeopardy!,"ASSASSIN & VICTIM","$400","Marcus Junius Brutus et al. (44 B.C.)","Julius Caesar"
5366,2007-12-31,Double Jeopardy!,"UNDER THE ""C""","$400","The modern Hebrew & Arabic alphabets consist only of these types of letters","consonants"
5366,2007-12-31,Double Jeopardy!,"PATRONS OF THE ARTS","$800","Gustave Caillebotte was the main backer of several of these exhibitions, & his own work is kind of in that style","Impressionist"
5366,2007-12-31,Double Jeopardy!,"THE BLUES","$800","In the movie version of ""Devil in a Blue Dress"", he played detective Easy Rawlins","Denzel Washington"
5366,2007-12-31,Double Jeopardy!,"GREAT ALEXANDERS","$800","Some of the moons of Uranus are named for characters created by this British poet & essayist","(Alexander) Pope"
5366,2007-12-31,Double Jeopardy!,"APPROXIMATE WEIGHTS & MEASURES","$800","A bunch of honeybees on the move","a swarm"
5366,2007-12-31,Double Jeopardy!,"ASSASSIN & VICTIM","$800","James Earl Ray (1968)","Martin Luther King Junior"
5366,2007-12-31,Double Jeopardy!,"UNDER THE ""C""","$800","It's the South American national capital city that fits the category","Caracas"
5366,2007-12-31,Double Jeopardy!,"PATRONS OF THE ARTS","$500","In 1603 Shakespeare's company, the Lord Chamberlain's Men, switched to royal patronage & to this name","the King's Men"
5366,2007-12-31,Double Jeopardy!,"THE BLUES","$1200","""Beverly Hills Buntz"" was a spin-off of this cop show","Hill Street Blues"
5366,2007-12-31,Double Jeopardy!,"GREAT ALEXANDERS","$1200","In 1990 Russia restored citizenship to this Nobel Prize-winning author of ""Cancer Ward""","Aleksandr Solzhenitsyn"
5366,2007-12-31,Double Jeopardy!,"APPROXIMATE WEIGHTS & MEASURES","$1200","(<a href=""http://www.j-archive.com/media/2007-12-31_DJ_22.wmv"">Sarah of the Clue Crew begins a dare cocktail.</a>)  Two of the smallest bartender measures are these 2 that rhyme--one for a pure flavoring like Tobasco & one for liquid like soda","dash & splash"
5366,2007-12-31,Double Jeopardy!,"ASSASSIN & VICTIM","$1200","Leon Czolgosz (1901)","McKinley"
5366,2007-12-31,Double Jeopardy!,"UNDER THE ""C""","$1200","Cheese is this part of milk separated from the whey","the curd"
5366,2007-12-31,Double Jeopardy!,"PATRONS OF THE ARTS","$1600","Luciano of this colors-ful Italian clothing company is a noted arts patron through a center called Fabrica","Benetton"
5366,2007-12-31,Double Jeopardy!,"THE BLUES","$1600","To join this troupe seen <a href=""http://www.j-archive.com/media/2007-12-31_DJ_28.wmv"">here</a>, you have to have percussion & acting skills--& be able to let your ego go!","the Blue Man Group"
5366,2007-12-31,Double Jeopardy!,"GREAT ALEXANDERS","$1600","He took a break in his military career to become Nixon's Chief of Staff","(Alexander) Haig"
5366,2007-12-31,Double Jeopardy!,"APPROXIMATE WEIGHTS & MEASURES","$1600","This synonym for ""killed"" also means a large quantity","a slew"
5366,2007-12-31,Double Jeopardy!,"ASSASSIN & VICTIM","$1600","Yigal Amir (1995)","Yitzhak Rabin"
5366,2007-12-31,Double Jeopardy!,"UNDER THE ""C""","$1600","We're climbing past 10,000 feet on our way to this, the flight level we'll maintain en route, 35,000 feet","the cruising altitude"
5366,2007-12-31,Double Jeopardy!,"PATRONS OF THE ARTS","$2000","As well as the Sistine Chapel, named for Sixtus, Pope Paul III got Michelangelo to fresco <a href=""http://www.j-archive.com/media/2007-12-31_DJ_30.jpg"" target=""_blank"">this</a> chapel, named for himself","the Pauline Chapel"
5366,2007-12-31,Double Jeopardy!,"THE BLUES","$2000","As temptress Lola Frohlich, she sang ""Falling In Love Again"" in the 1930 film ""The Blue Angel""","Marlene Dietrich"
5366,2007-12-31,Double Jeopardy!,"GREAT ALEXANDERS","$2000","Once an artist for the National Police Gazette, he really got moving with his ""mobile"" sculptures","Calder"
5366,2007-12-31,Double Jeopardy!,"APPROXIMATE WEIGHTS & MEASURES","$2000","This French word for a slight trace, as of a particular flavor, means ""suspicion""","soupçon"
5366,2007-12-31,Double Jeopardy!,"ASSASSIN & VICTIM","$3,000","Nathuram Godse (1948)","Mohandas Gandhi"
5366,2007-12-31,Double Jeopardy!,"UNDER THE ""C""","$2000","Found in South Africa in 1905, this 3,106-carat diamond went to Amsterdam for cutting","the Cullinan"
5366,2007-12-31,Final Jeopardy!,"POETRY","None","In a poem about this battle, Robert Browning wrote, ""To Akropolis!  Run, Pheidippides, one race more""","the Battle of Marathon"
5720,2009-06-19,Jeopardy!,"U.S. CITIES","$200","New York State's second-largest city, it's the seat of Erie County","Buffalo"
5720,2009-06-19,Jeopardy!,"ARE YOU READY FOR SOME FOOSBALL","$200","The 2007 this of foosball was held in Lexington, Ky. in January; the NFL held its in Miami a few weeks later","the Super Bowl"
5720,2009-06-19,Jeopardy!,"COMMON COMPUTER ABBREV.","$200","Windows is one: OS","operating system"
5720,2009-06-19,Jeopardy!,"WEIRD SCENTS","$200","Tony Sirico, who played Paulie Walnuts on this HBO show, unveiled his cologne, Paolo per Uomo, in 2008","The Sopranos"
5720,2009-06-19,Jeopardy!,"NAME CALLING","$200","I hate to call you a dumb this, like the extinct bird from Mauritius, but what were you thinking?","a dodo"
5720,2009-06-19,Jeopardy!,"""J"" MART","$200","This term for a holy war against nonbelievers comes from the Arabic word for ""struggle""","jihad"
5720,2009-06-19,Jeopardy!,"U.S. CITIES","$1,000","Jestine's Kitchen is a soulful stop for catfish in this city, home of Catfish Row in story & opera","Charleston"
5720,2009-06-19,Jeopardy!,"ARE YOU READY FOR SOME FOOSBALL","$400","In 1975 this leading U.S. sports magazine called foosball ""a real first-class professional sport""","Sports Illustrated"
5720,2009-06-19,Jeopardy!,"COMMON COMPUTER ABBREV.","$400","Hello: IM","instant message"
5720,2009-06-19,Jeopardy!,"WEIRD SCENTS","$400","For its 50th anniversary, this sculptable hyphenated compound got its own fragrance","Play-Doh"
5720,2009-06-19,Jeopardy!,"NAME CALLING","$400","Maybe it was all the brandy & brown sugar, but you're ""nuttier than"" this Christmas treat","a fruitcake"
5720,2009-06-19,Jeopardy!,"""J"" MART","$400","The Spanish word for ""water"" is found within this sleek feline's name","the jaguar"
5720,2009-06-19,Jeopardy!,"U.S. CITIES","$600","The roadside attraction called the Cadillac Ranch is in this Texas city whose name is Spanish for ""yellow""","Amarillo"
5720,2009-06-19,Jeopardy!,"ARE YOU READY FOR SOME FOOSBALL","$600","Like an NBA player who camps in the key, a foosballer who takes longer than this to get ready for a serve gets penalized","3 seconds"
5720,2009-06-19,Jeopardy!,"COMMON COMPUTER ABBREV.","$600","It's the brains of the operation: CPU","central processing unit"
5720,2009-06-19,Jeopardy!,"WEIRD SCENTS","$600","If you want to smell like a blue one of these, spritz on Eau de Stilton","cheese"
5720,2009-06-19,Jeopardy!,"NAME CALLING","$600","You just don't get it, do you?  You're a big this; now go sit in the corner & put on the cap of the same name","a dunce"
5720,2009-06-19,Jeopardy!,"""J"" MART","$600","Pass the jelly to Boy Scouts around the world at one of these camping rallies","a jamboree"
5720,2009-06-19,Jeopardy!,"U.S. CITIES","$800","This city near San Francisco grew when it became the western terminus of the Transcontinental Railroad","Oakland"
5720,2009-06-19,Jeopardy!,"ARE YOU READY FOR SOME FOOSBALL","$800","It's illegal to rotate the rods more than this many degrees, so forget about spinning off a ""slap"" shot","360"
5720,2009-06-19,Jeopardy!,"COMMON COMPUTER ABBREV.","$800","It's a measure of speed: BPS","bytes per second"
5720,2009-06-19,Jeopardy!,"WEIRD SCENTS","$800","A buccal swab is the first step to get ""Your Fragrance in the Bottle"", based on this","DNA"
5720,2009-06-19,Jeopardy!,"NAME CALLING","$800","You keep dropping things!  Oy, you're such a this, Yiddish for ""wooden block""","a klutz"
5720,2009-06-19,Jeopardy!,"""J"" MART","$800","He succeeded a daughter of Henry VIII in 1603","James I"
5720,2009-06-19,Jeopardy!,"U.S. CITIES","$1000","It's the biggest city in eastern Washington","Spokane"
5720,2009-06-19,Jeopardy!,"ARE YOU READY FOR SOME FOOSBALL","$1000","Foosball's governing body is the ITSF, which stands for this (the ""TS"" is for foosball's more formal name)","International Table Soccer Federation"
5720,2009-06-19,Jeopardy!,"COMMON COMPUTER ABBREV.","$1000","A regional computer linker: LAN","local area network"
5720,2009-06-19,Jeopardy!,"WEIRD SCENTS","$1000","This eatery has created ""Flame"", combining a ""scent of seduction with a hint of flame-broiled meat""","Burger King"
5720,2009-06-19,Jeopardy!,"NAME CALLING","$1000","Watch yourself you big this, (& did you know it comes from the word ""elf""?)","an oaf"
5720,2009-06-19,Jeopardy!,"""J"" MART","$1000","Carved from the living rock, the pink stone city of Petra is found in this Middle Eastern kingdom","Jordan"
5720,2009-06-19,Double Jeopardy!,"HISTORICAL PAINTINGS","$400","A Remington painting shows the ""Coming and Going of"" this delivery service that came & went in less than 2 years' time","the Pony Express"
5720,2009-06-19,Double Jeopardy!,"ROCK STARS SAY THE DARNDEST THINGS","$400","This ""Purple Rain"" guy had a simple request: ""Don't hate me because I'm fabulous""","Prince"
5720,2009-06-19,Double Jeopardy!,"THIRD IN SEQUENCE","$400","In a Stevie Wonder song: ""Signed, Sealed, _____""","Delivered"
5720,2009-06-19,Double Jeopardy!,"FOREIGN WORDS & PHRASES","$400","In Dutch this holiday greeting is ""Vrolijk Kerstfeest""","Merry Christmas"
5720,2009-06-19,Double Jeopardy!,"WILLA CATHER","$400","Willa Cather was born in this ""Old Dominion"" state, not in Nebraska","Virginia"
5720,2009-06-19,Double Jeopardy!,"O PIONEERS!","$400","In the 1840s this religious sect left Nauvoo, Illinois & headed west","the Mormons"
5720,2009-06-19,Double Jeopardy!,"HISTORICAL PAINTINGS","$800","Paolo Uccello's ""The Battle of San Romano"" was commissioned by a member of this family in the 1450s","the Medici"
5720,2009-06-19,Double Jeopardy!,"ROCK STARS SAY THE DARNDEST THINGS","$800","""I got rabies shots for biting the head off a bat but that's OK--the bat had to get"" this singer ""shots""","Ozzy Osbourne"
5720,2009-06-19,Double Jeopardy!,"THIRD IN SEQUENCE","$800","In George Bush's ""Axis Of Evil"": Iran, Iraq, _____","North Korea"
5720,2009-06-19,Double Jeopardy!,"FOREIGN WORDS & PHRASES","$800","A clever saying or witticism, it literally means ""good word"" in French","bon mot"
5720,2009-06-19,Double Jeopardy!,"WILLA CATHER","$800","F. Scott Fitzgerald wrote Cather that the similarity of passages in this 1925 book & her ""A Lost Lady"" was just a coincidence","The Great Gatsby"
5720,2009-06-19,Double Jeopardy!,"O PIONEERS!","$800","1849's ""The Emigrants' Guide to California"" says the biggest travel expense was 8 of these--yoke not included","oxen"
5720,2009-06-19,Double Jeopardy!,"HISTORICAL PAINTINGS","$1200","(<a href=""http://www.j-archive.com/media/2009-06-19_DJ_28.jpg"" target=""_blank"">Jimmy of the Clue Crew points out a famous painting on the monitor.</a>)  In Emanuel Leutze's painting of Washington crossing the Delaware, the <a href=""http://www.j-archive.com/media/2009-06-19_DJ_28a.jpg"" target=""_blank"">man</a> holding the anachronistic flag is said to be this future fifth president","Monroe"
5720,2009-06-19,Double Jeopardy!,"ROCK STARS SAY THE DARNDEST THINGS","$1200","This ""Ziggy Stardust"" singer: ""I think I was always a closet heterosexual""","David Bowie"
5720,2009-06-19,Double Jeopardy!,"THIRD IN SEQUENCE","$1200","3 main types of rocks: igneous, metamorphic, _____","sedimentary"
5720,2009-06-19,Double Jeopardy!,"FOREIGN WORDS & PHRASES","$1200","Italian for ""the sweet life"", it served as the title for a 1960 Federico Fellini film","La Dolce Vita"
5720,2009-06-19,Double Jeopardy!,"WILLA CATHER","$1200","Cather took the title ""O Pioneers!"" from a poem by Walt Whitman that appeared in this collection","Leaves of Grass"
5720,2009-06-19,Double Jeopardy!,"O PIONEERS!","$1200","In treeless areas, pioneers built houses of this 3-letter material, filling cracks with mud; hey, it was dirt cheap!","sod"
5720,2009-06-19,Double Jeopardy!,"HISTORICAL PAINTINGS","$1600","An 1830s painting by Karl Briullov depicts ""The Last Day of"" this city, before it was obliterated by a volcano","Pompeii"
5720,2009-06-19,Double Jeopardy!,"ROCK STARS SAY THE DARNDEST THINGS","$1600","This ""Maggie May"" guy: ""Instead of... (marrying) again, I'm going to find a woman I don't like and just give her a house""","Rod Stewart"
5720,2009-06-19,Double Jeopardy!,"THIRD IN SEQUENCE","$1600","Noah's sons: Ham, Shem, _____","Japheth"
5720,2009-06-19,Double Jeopardy!,"FOREIGN WORDS & PHRASES","$2,500","""Negus, from the Amharic for ""king"", was once used as a title for the emperors of this African nation","Ethiopia"
5720,2009-06-19,Double Jeopardy!,"WILLA CATHER","$3,000","Cather chose to put an accent over the first letter of this character's name so as to stress the first syllable","Ántonia"
5720,2009-06-19,Double Jeopardy!,"O PIONEERS!","$1600","Families traveling west lived in these covered wagons, so-named because their white tops looked like ships' sails","prairie schooners"
5720,2009-06-19,Double Jeopardy!,"HISTORICAL PAINTINGS","$2000","Seen <a href=""http://www.j-archive.com/media/2009-06-19_DJ_30.jpg"" target=""_blank"">here</a>, the portrait of <a href=""http://www.j-archive.com/media/2009-06-19_DJ_30a.jpg"" target=""_blank"">Napoleon</a> in his study was done by this favorite painter of his in 1812","Jacques-Louis David"
5720,2009-06-19,Double Jeopardy!,"ROCK STARS SAY THE DARNDEST THINGS","$2000","This Van Halen singer: ""Money can't buy you happiness, but it can buy you a yacht... to pull up alongside it""","David Lee Roth"
5720,2009-06-19,Double Jeopardy!,"THIRD IN SEQUENCE","$2000","Rome's Second Triumvirate: Octavian, Lepidus, _____","Marc Antony"
